"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
-1.60402317324789,-1.32780441127229,-1.32780441127229,-1.39998062023729,-1.39998062023729,-1.39998062023729,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-1.30963254983012,-0.961615045751755,-1.09747902050701,-1.23267628919532,-1.44057919508979,-1.36097591123393,-1.84946757362535,-1.84946757362535,-1.84946757362535,-1.94174901064047
-1.60402317324789,-1.32780441127229,-1.32780441127229,-1.39998062023729,-1.39998062023729,-1.39998062023729,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-1.30963254983012,-0.961615045751755,-1.09747902050701,-1.23267628919532,-1.44057919508979,-1.36097591123393,-1.84946757362535,-1.84946757362535,-1.84946757362535,-1.84946757362535
-1.60402317324789,-1.32780441127229,-1.32780441127229,-1.39998062023729,-1.39998062023729,-1.39998062023729,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-1.30963254983012,-0.961615045751755,-0.857620967986427,-1.03423359238125,-1.36097591123393,-1.36097591123393,-1.84946757362535,-1.84946757362535,-1.84946757362535,-1.84946757362535
-1.60402317324789,-1.32780441127229,-1.32780441127229,-1.39998062023729,-1.39998062023729,-1.39998062023729,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-0.961615045751755,-0.857620967986427,-1.03423359238125,-1.36097591123393,-1.36097591123393,-1.57087688567422,-1.84946757362535,-1.84946757362535,-1.84946757362535
-1.60402317324789,-1.32780441127229,-1.32780441127229,-1.39998062023729,-1.39998062023729,-1.39998062023729,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-0.961615045751755,-0.857620967986427,-1.03423359238125,-1.03423359238125,-1.36097591123393,-1.52929039072497,-1.84946757362535,-1.52929039072497,-1.52929039072497
-1.60402317324789,-1.32780441127229,-1.32780441127229,-1.39998062023729,-1.39998062023729,-1.18989090471732,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-0.961615045751755,-0.857620967986427,-1.03423359238125,-1.03423359238125,-1.22161752683976,-1.52929039072497,-1.52929039072497,-1.52929039072497,-1.52929039072497
-1.60402317324789,-1.32780441127229,-1.32780441127229,-1.39998062023729,-1.39998062023729,-1.18989090471732,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.09747902050701,-0.857620967986427,-1.03423359238125,-1.03423359238125,-1.22161752683976,-1.52929039072497,-1.52929039072497,-1.52929039072497,-1.52929039072497
-1.6212912278201,-1.32780441127229,-1.00936631918741,-1.32780441127229,-1.18989090471732,-1.18989090471732,-1.18989090471732,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.09747902050701,-0.857620967986427,-1.03423359238125,-1.03423359238125,-1.22161752683976,-1.52929039072497,-1.52929039072497,-1.52929039072497,-1.52929039072497
-1.6212912278201,-0.931650246758497,-1.00936631918741,-1.32780441127229,-1.18989090471732,-1.18989090471732,-1.18989090471732,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.09747902050701,-1.09747902050701,-0.81551145872531,-0.840147934773736,-1.03423359238125,-1.22161752683976,-1.52929039072497,-1.91186714978962,-1.52929039072497,-1.52929039072497
-1.54095408789487,-1.54095408789487,-0.931650246758497,-1.32780441127229,-1.00936631918741,-1.18989090471732,-1.18989090471732,-1.3100286273974,-1.3100286273974,-1.09747902050701,-1.09747902050701,-1.09747902050701,-0.736096694418568,-0.840147934773736,-1.03423359238125,-1.22161752683976,-1.22161752683976,-1.91186714978962,-1.52929039072497,-1.52929039072497
