"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
-0.410219365406574,-0.410219365406574,-0.410219365406574,-0.686827999728704,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0586515963929131,-0.0586515963929131,-0.414370762451044,-0.951014214361528,-0.243753030298789,-0.243753030298789,-0.973076199337955,-0.973076199337955,-0.76485995132851,-0.488188851057467,-1.61557671697678
-0.410219365406574,-0.410219365406574,-0.410219365406574,-0.686827999728704,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0586515963929131,-0.0586515963929131,-0.468797067610981,-0.951014214361528,-0.951014214361528,-0.847178169090264,-0.973076199337955,-0.973076199337955,-0.76485995132851,-1.61557671697678,-1.61557671697678
-0.410219365406574,-0.410219365406574,-0.481296828617379,-0.918617525614033,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0586515963929131,-0.0586515963929131,-0.596776701112553,-0.951014214361528,-0.951014214361528,-0.847178169090264,-0.973076199337955,-0.973076199337955,-0.76485995132851,-1.61557671697678,-1.61557671697678
-0.481296828617379,-0.481296828617379,-0.918617525614033,-0.949103295548642,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.208386750820388,-0.208386750820388,-0.0586515963929131,-0.596776701112553,-0.951014214361528,-0.951014214361528,-0.951014214361528,-0.973076199337955,-1.29524224726602,-0.76485995132851,-1.61557671697678,-1.61557671697678
-0.918617525614033,-0.918617525614033,-0.918617525614033,-0.949103295548642,-0.14186483735144,-0.0360605136003217,-0.0360605136003217,-0.0360605136003217,-0.208386750820388,-0.208386750820388,-0.0586515963929131,-0.75778258804206,-0.951014214361528,-0.951014214361528,-0.951014214361528,-1.29524224726602,-1.29524224726602,-1.29524224726602,-1.67144620745917,-1.61557671697678
-0.918617525614033,-0.918617525614033,-0.918617525614033,-0.949103295548642,-0.14186483735144,-0.208386750820388,-0.0360605136003217,-0.0360605136003217,-0.208386750820388,-0.208386750820388,-0.0586515963929131,-0.903080035727595,-0.951014214361528,-0.951014214361528,-0.951014214361528,-1.29524224726602,-1.29524224726602,-1.67144620745917,-1.67144620745917,-1.61557671697678
-0.918617525614033,-0.918617525614033,-0.918617525614033,-0.949103295548642,-0.380858852504322,-0.208386750820388,-0.0360605136003217,-0.208386750820388,-0.208386750820388,-0.208386750820388,-0.0586515963929131,-0.903080035727595,-1.31449905454088,-1.31449905454088,-1.31449905454088,-1.29524224726602,-1.29524224726602,-1.67144620745917,-1.67144620745917,-1.61557671697678
-0.918617525614033,-0.918617525614033,-0.918617525614033,-0.949103295548642,-0.420668115918045,-0.208386750820388,-0.208386750820388,-0.208386750820388,-0.208386750820388,-0.228161564221625,-0.12721816491414,-0.903080035727595,-1.31449905454088,-1.31449905454088,-1.31449905454088,-1.29524224726602,-1.29524224726602,-1.67144620745917,-1.67144620745917,-1.61557671697678
-0.918617525614033,-0.918617525614033,-0.949103295548642,-0.949103295548642,-0.420668115918045,-0.558665133141984,-0.208386750820388,-0.208386750820388,-0.208386750820388,-0.469431712099721,-0.468797067610981,-1.15813918568067,-1.11465324347475,-1.31449905454088,-1.31449905454088,-1.29524224726602,-1.3863199493501,-1.67144620745917,-1.67144620745917,-1.61557671697678
-0.918617525614033,-0.918617525614033,-0.949103295548642,-1.32404476053363,-0.558665133141984,-0.558665133141984,-0.208386750820388,-0.208386750820388,-0.469431712099721,-0.469431712099721,-0.468797067610981,-1.15813918568067,-1.11465324347475,-1.31449905454088,-1.31449905454088,-1.3863199493501,-1.3863199493501,-1.67144620745917,-1.67144620745917,-1.61557671697678
