"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
-1.60402317324789,-1.60402317324789,-1.60402317324789,-2.2619567921943,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.30963254983012,-1.30963254983012,-1.21137747473569,-2.00681266844107,-1.81766602797474,-1.81766602797474,-2.34237091035566,-2.34237091035566,-3.63212257598158,-2.95947469519742,-2.42279521947051
-1.60402317324789,-1.60402317324789,-1.60402317324789,-2.2619567921943,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.30963254983012,-1.30963254983012,-1.09747902050701,-2.00681266844107,-2.00681266844107,-2.08510260799994,-2.34237091035566,-2.34237091035566,-3.63212257598158,-2.42279521947051,-2.42279521947051
-1.60402317324789,-1.60402317324789,-1.6212912278201,-1.76946929609215,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.30963254983012,-1.30963254983012,-1.23267628919532,-2.00681266844107,-2.00681266844107,-2.08510260799994,-2.34237091035566,-2.34237091035566,-3.63212257598158,-2.42279521947051,-2.42279521947051
-1.6212912278201,-1.6212912278201,-1.76946929609215,-1.54095408789487,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.53792351805287,-1.53792351805287,-1.30963254983012,-1.23267628919532,-2.00681266844107,-2.00681266844107,-2.00681266844107,-2.34237091035566,-2.45007809457672,-3.63212257598158,-2.42279521947051,-2.42279521947051
-1.76946929609215,-1.76946929609215,-1.76946929609215,-1.54095408789487,-1.39998062023729,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.53792351805287,-1.53792351805287,-1.30963254983012,-1.00244234366776,-2.00681266844107,-2.00681266844107,-2.00681266844107,-2.45007809457672,-2.45007809457672,-2.45007809457672,-2.44681128938722,-2.42279521947051
-1.76946929609215,-1.76946929609215,-1.76946929609215,-1.54095408789487,-1.39998062023729,-1.53792351805287,-1.66991367441917,-1.66991367441917,-1.53792351805287,-1.53792351805287,-1.30963254983012,-0.857620967986427,-2.00681266844107,-2.00681266844107,-2.00681266844107,-2.45007809457672,-2.45007809457672,-2.44681128938722,-2.44681128938722,-2.42279521947051
-1.76946929609215,-1.76946929609215,-1.76946929609215,-1.54095408789487,-2.00978871367343,-1.53792351805287,-1.66991367441917,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.30963254983012,-0.857620967986427,-1.92448419704187,-1.92448419704187,-1.92448419704187,-2.45007809457672,-2.45007809457672,-2.44681128938722,-2.44681128938722,-2.42279521947051
-1.76946929609215,-1.76946929609215,-1.76946929609215,-1.54095408789487,-1.32780441127229,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.51384804211541,-1.3100286273974,-0.857620967986427,-1.92448419704187,-1.92448419704187,-1.92448419704187,-2.45007809457672,-2.45007809457672,-2.44681128938722,-2.44681128938722,-2.42279521947051
-1.76946929609215,-1.76946929609215,-1.54095408789487,-1.54095408789487,-1.32780441127229,-1.18989090471732,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.57780432196948,-1.09747902050701,-0.840147934773736,-1.03423359238125,-1.92448419704187,-1.92448419704187,-2.45007809457672,-2.40263217759305,-2.44681128938722,-2.44681128938722,-2.42279521947051
-1.76946929609215,-1.76946929609215,-1.54095408789487,-1.19561109444543,-1.18989090471732,-1.18989090471732,-1.53792351805287,-1.53792351805287,-1.57780432196948,-1.57780432196948,-1.09747902050701,-0.840147934773736,-1.03423359238125,-1.92448419704187,-1.92448419704187,-2.40263217759305,-2.40263217759305,-2.44681128938722,-2.44681128938722,-2.42279521947051
-1.76946929609215,-1.76946929609215,-1.54095408789487,-1.19561109444543,-1.18989090471732,-1.18989090471732,-1.53792351805287,-1.53792351805287,-1.57780432196948,-1.09747902050701,-1.09747902050701,-0.840147934773736,-0.840147934773736,-1.92448419704187,-1.92448419704187,-1.91186714978962,-2.42279521947051,-2.44681128938722,-2.44681128938722,-2.01783831621067
-1.76946929609215,-1.76946929609215,-1.54095408789487,-0.829662164090411,-1.00936631918741,-1.18989090471732,-1.18989090471732,-1.53792351805287,-1.57780432196948,-1.09747902050701,-1.09747902050701,-0.840147934773736,-0.840147934773736,-1.22161752683976,-1.22161752683976,-1.91186714978962,-1.91186714978962,-2.44681128938722,-2.44681128938722,-2.01783831621067
-1.76946929609215,-1.54095408789487,-1.54095408789487,-0.829662164090411,-1.00936631918741,-1.18989090471732,-1.18989090471732,-1.53792351805287,-1.57780432196948,-1.09747902050701,-1.09747902050701,-0.840147934773736,-0.840147934773736,-0.836898772531957,-1.05833338681028,-1.91186714978962,-1.91186714978962,-2.44681128938722,-2.01783831621067,-0.648220360073469
