"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
-1.70988476132735,-1.60402317324789,-1.3100286273974,-1.12824643172312,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.21137747473569,-1.18989090471732,-1.57216014192906,-1.87579474021745,-1.57216014192906,-1.60239721966401,-1.44539863367197,-1.7130977383888
-1.70988476132735,-1.44932278800868,-1.3100286273974,-1.12824643172312,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.18989090471732,-1.18989090471732,-1.57216014192906,-1.36097591123393,-1.43780777100544,-1.60239721966401,-1.44539863367197,-1.7130977383888
-1.70988476132735,-1.57780432196948,-1.32780441127229,-1.12824643172312,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.18989090471732,-1.18989090471732,-1.43780777100544,-1.36097591123393,-1.36097591123393,-1.60239721966401,-1.44539863367197,-1.60239721966401
-1.70988476132735,-1.19407990831114,-1.32780441127229,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.18989090471732,-1.18989090471732,-1.34439590833508,-1.36097591123393,-1.36097591123393,-1.60239721966401,-1.44539863367197,-1.59272341265588
-1.70988476132735,-1.19407990831114,-1.32780441127229,-1.04526726859211,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.18989090471732,-1.07030990995895,-1.34439590833508,-1.36097591123393,-1.36097591123393,-1.57087688567422,-1.49524720975385,-1.59272341265588
-1.70988476132735,-1.19407990831114,-1.32780441127229,-1.09747902050701,-1.04526726859211,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.30963254983012,-1.30963254983012,-1.30963254983012,-1.3100286273974,-1.00936631918741,-0.937887063916578,-1.36097591123393,-1.31960928285414,-1.36097591123393,-1.57087688567422,-1.49524720975385,-1.57087688567422
-1.60402317324789,-1.19407990831114,-1.32780441127229,-1.00936631918741,-1.04526726859211,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.00244234366776,-0.937887063916578,-1.36097591123393,-1.31960928285414,-1.36097591123393,-1.57087688567422,-1.49524720975385,-1.52929039072497
-1.60402317324789,-1.34439590833508,-1.18989090471732,-1.00936631918741,-1.00936631918741,-1.09747902050701,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.21137747473569,-0.857620967986427,-0.937887063916578,-1.03423359238125,-1.31960928285414,-1.22161752683976,-1.52929039072497,-1.49524720975385,-1.52929039072497
-1.60402317324789,-1.17491893115764,-1.00936631918741,-1.00936631918741,-1.00936631918741,-1.09747902050701,-1.18989090471732,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.3100286273974,-1.09747902050701,-0.857620967986427,-0.81551145872531,-1.03423359238125,-1.22161752683976,-1.22161752683976,-1.52929039072497,-1.60239721966401,-1.29411598888863
-1.6212912278201,-1.03423359238125,-1.00936631918741,-0.931650246758497,-1.00936631918741,-1.00936631918741,-1.18989090471732,-1.18989090471732,-1.3100286273974,-1.3100286273974,-1.09747902050701,-1.09747902050701,-0.857620967986427,-0.81551145872531,-1.03423359238125,-1.22161752683976,-0.877384554576945,-1.52929039072497,-1.37778252307557,-1.29411598888863
