"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.401658454732144,-0.0516787599639304,-0.0516787599639304,0.149348053358671,-0.145136949754129,-0.261167632559568,-0.667232102210354,-0.667232102210354,-0.667232102210354,-0.667232102210354,-0.477874982039843,-0.049496200890644,-0.458058424507434,-0.312367893527929,-0.257473280165169,-0.292787029359084,-0.292787029359084,0.149348053358671,0.427739728089829,0.427739728089829
0.401658454732144,0.472511889098812,0.472511889098812,0.149348053358671,0.0223996150545815,-0.145136949754129,-0.667232102210354,-0.667232102210354,-0.477874982039843,-0.477874982039843,-0.477874982039843,0.0173368993735386,-0.049496200890644,-0.257473280165169,-0.0646068895765284,-0.292787029359084,0.149348053358671,0.351168288903691,0.427739728089829,0.427739728089829
0.472511889098812,0.472511889098812,0.472511889098812,0.435010746691623,0.0223996150545815,-0.049496200890644,-0.477874982039843,-0.477874982039843,-0.477874982039843,-0.477874982039843,-0.477874982039843,0.351933882242314,0.063928275367294,0.063928275367294,0.063928275367294,0.0988015228264804,0.351168288903691,0.351168288903691,0.427739728089829,0.427739728089829
0.735956021719724,0.472511889098812,0.472511889098812,0.472511889098812,0.0223996150545815,0.0223996150545815,-0.334912887325395,-0.334912887325395,-0.334912887325395,-0.145136949754129,-0.145136949754129,0.351933882242314,0.063928275367294,0.063928275367294,0.063928275367294,0.0988015228264804,0.351168288903691,0.351168288903691,0.427739728089829,0.910480639167819
0.735956021719724,0.735956021719724,0.472511889098812,0.472511889098812,0.157347385153081,0.157347385153081,-0.145136949754129,-0.145136949754129,-0.145136949754129,-0.080689162053344,-0.145136949754129,0.351933882242314,0.157347385153081,0.063928275367294,0.544004778709495,0.351168288903691,0.351168288903691,0.44128937189193,0.619315157302145,0.910480639167819
0.735956021719724,0.735956021719724,0.735956021719724,0.472511889098812,0.544004778709495,0.351933882242314,-0.145136949754129,-0.080689162053344,-0.080689162053344,-0.080689162053344,-0.080689162053344,0.726789384341677,0.390322998319392,0.063928275367294,0.544004778709495,0.351168288903691,0.835566844026856,0.880071663705397,0.790185289547515,0.950229300884562
1.00618142946737,1.00618142946737,0.964749588726846,0.964749588726846,0.544004778709495,0.697606052838089,-0.080689162053344,-0.080689162053344,0.051035995010447,0.051035995010447,0.051035995010447,0.726789384341677,0.535657585436563,0.390322998319392,0.806845079430622,0.835566844026856,0.880071663705397,0.880071663705397,0.950229300884562,0.950229300884562
1.016381463102,1.00618142946737,0.964749588726846,0.964749588726846,0.806845079430622,0.697606052838089,0.00951609273973648,0.00951609273973648,0.365738898270607,0.365738898270607,0.365738898270607,0.726789384341677,0.726789384341677,0.544004778709495,0.806845079430622,0.835566844026856,1.12403199916557,1.16430478632314,1.16430478632314,0.950229300884562
1.17187410114407,1.00618142946737,1.016381463102,0.964749588726846,0.756964247112551,0.697606052838089,0.365738898270607,0.157347385153081,0.365738898270607,0.365738898270607,0.365738898270607,0.756964247112551,0.726789384341677,0.638583490019775,1.12394789862958,1.12403199916557,1.16430478632314,1.16430478632314,1.16430478632314,1.59073536412061
1.26440821607438,1.17187410114407,1.26440821607438,1.07564550631808,0.870286888492123,0.756964247112551,0.365738898270607,0.365738898270607,0.365738898270607,0.365738898270607,0.365738898270607,0.85427917712742,0.756964247112551,0.806845079430622,1.26853643905025,1.12403199916557,1.37252423561334,1.16430478632314,1.79223619307209,1.59073536412061
